ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
26,55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
27,56,self-employed,married,secondary,no,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,no
28,53,admin.,married,secondary,no,105,no,yes,cellular,21,aug,74,2,-1,0,unknown,no
29,68,retired,divorced,secondary,no,4189,no,no,telephone,14,jul,897,2,-1,0,unknown,yes
30,31,technician,married,secondary,no,171,no,no,cellular,27,aug,81,3,-1,0,unknown,no
31,59,management,married,secondary,no,42,no,no,cellular,21,nov,40,1,-1,0,unknown,no
32,32,management,single,tertiary,no,2536,yes,no,cellular,26,aug,958,6,-1,0,unknown,yes
33,49,technician,married,tertiary,no,1235,no,no,cellular,13,aug,354,3,-1,0,unknown,yes
34,42,admin.,divorced,secondary,no,1811,yes,no,unknown,14,may,150,1,-1,0,unknown,no
35,78,retired,divorced,primary,no,229,no,no,telephone,22,oct,97,1,-1,0,unknown,yes
36,32,blue-collar,married,secondary,no,2089,yes,no,cellular,14,nov,132,1,-1,0,unknown,yes
37,33,management,married,secondary,no,3935,yes,no,cellular,6,may,765,1,342,2,failure,yes
38,23,services,single,tertiary,no,363,yes,no,unknown,30,may,16,18,-1,0,unknown,no
39,38,management,single,tertiary,no,11971,yes,no,unknown,17,nov,609,2,101,3,failure,no
40,36,management,single,tertiary,no,553,no,no,cellular,11,aug,106,2,-1,0,unknown,no
41,52,blue-collar,married,secondary,no,1117,yes,no,cellular,13,may,365,1,-1,0,unknown,no
42,32,technician,married,tertiary,no,396,yes,no,cellular,13,may,205,3,-1,0,unknown,no
43,32,technician,single,tertiary,no,2204,yes,no,cellular,21,nov,11,4,-1,0,unknown,no
44,34,management,single,tertiary,no,872,yes,no,unknown,7,may,105,2,-1,0,unknown,no
45,55,blue-collar,married,primary,no,145,no,no,telephone,2,feb,59,3,5,2,other,no
46,26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no
47,32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,4,feb,204,1,-1,0,unknown,no
48,45,blue-collar,divorced,primary,no,844,no,no,unknown,5,june,1018,3,-1,0,unknown,yes
49,37,technician,single,secondary,no,228,yes,no,cellular,20,aug,1740,2,-1,0,unknown,no
50,38,technician,single,secondary,no,50,no,no,cellular,29,aug,98,2,-1,0,unknown,no
51,34,technician,married,tertiary,no,1539,yes,no,cellular,15,june,441,1,56,1,other,yes
52,53,blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,272,3,-1,0,unknown,no
53,48,admin.,married,secondary,no,3064,yes,no,telephone,15,jul,159,2,-1,0,unknown,no
54,57,management,married,secondary,no,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no
55,33,self-employed,single,tertiary,no,2155,no,no,cellular,17,nov,295,1,-1,0,unknown,no
56,36,retired,single,secondary,no,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no
57,54,technician,divorced,secondary,no,784,yes,yes,unknown,15,may,579,1,-1,0,unknown,no
58,41,blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,554,3,-1,0,unknown,no
59,63,retired,married,secondary,no,415,yes,no,cellular,7,oct,323,1,-1,0,unknown,no
60,48,management,married,tertiary,no,5887,no,no,cellular,13,aug,227,2,-1,0,unknown,no
61,48,services,married,secondary,no,1355,no,no,cellular,4,jul,134,2,-1,0,unknown,no
62,56,admin.,married,secondary,no,16873,no,no,cellular,7,oct,223,1,-1,0,unknown,no
63,51,blue-collar,divorced,secondary,no,203,yes,no,cellular,8,may,134,1,170,5,failure,no
64,31,services,married,secondary,no,338,yes,no,cellular,28,jan,155,1,-1,0,unknown,no
65,29,technician,married,secondary,no,444,yes,no,cellular,21,jul,130,4,-1,0,unknown,no
66,41,management,married,secondary,no,0,no,yes,cellular,7,jul,630,3,-1,0,unknown,no
67,32,technician,single,tertiary,no,360,no,no,cellular,19,nov,164,2,-1,0,unknown,no
68,37,management,married,tertiary,no,0,no,no,cellular,16,jul,268,2,182,3,success,yes
69,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
70,31,management,single,tertiary,no,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no
71,41,services,married,tertiary,no,412,yes,no,unknown,3,june,154,5,-1,0,unknown,no
72,56,retired,married,secondary,no,344,yes,no,unknown,15,may,221,1,-1,0,unknown,no
73,54,management,divorced,tertiary,no,3222,no,no,cellular,14,aug,67,2,-1,0,unknown,no
74,41,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,may,367,2,297,1,other,no
75,40,technician,single,secondary,no,591,no,yes,cellular,14,aug,87,6,-1,0,unknown,no
76,50,blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,701,1,-1,0,unknown,no
77,40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no
78,27,admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,652,1,-1,0,unknown,yes
79,60,retired,married,primary,no,5,no,no,cellular,26,aug,63,2,-1,0,unknown,no
80,28,admin.,single,secondary,no,177,yes,yes,cellular,6,may,150,1,-1,0,unknown,no
81,52,services,married,secondary,no,657,no,no,telephone,7,jul,398,2,460,2,failure,yes
82,37,management,married,tertiary,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown,yes
83,51,blue-collar,married,primary,no,1466,yes,no,unknown,7,may,406,2,-1,0,unknown,no
84,41,technician,single,secondary,no,879,no,yes,cellular,7,jul,60,4,-1,0,unknown,no
85,35,blue-collar,single,primary,no,293,yes,no,unknown,30,may,521,2,-1,0,unknown,no
86,38,admin.,married,secondary,no,424,yes,no,cellular,17,apr,279,1,-1,0,unknown,no
87,34,blue-collar,married,secondary,no,1831,yes,no,unknown,20,may,203,2,-1,0,unknown,no
88,39,blue-collar,married,primary,no,111,no,no,cellular,18,nov,201,2,-1,0,unknown,no
89,34,blue-collar,married,primary,no,455,yes,no,unknown,20,jun,372,3,-1,0,unknown,no
90,27,services,single,secondary,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes
91,32,management,single,tertiary,no,3616,no,no,cellular,14,aug,165,2,-1,0,unknown,no
92,57,blue-collar,married,secondary,no,14093,no,no,cellular,11,aug,231,5,-1,0,unknown,no
93,41,unknown,single,tertiary,no,1567,no,no,cellular,1,jul,291,2,-1,0,unknown,no
94,41,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no
95,30,admin.,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no
96,36,blue-collar,divorced,secondary,no,2843,no,no,cellular,12,feb,473,1,182,1,success,no
97,31,unemployed,single,primary,no,406,no,no,cellular,4,feb,736,1,-1,0,unknown,yes
98,36,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no
99,38,management,single,tertiary,no,493,yes,no,cellular,11,may,553,1,367,7,failure,no
100,49,technician,married,secondary,no,5996,no,no,telephone,21,nov,345,2,-1,0,unknown,no
101,57,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown,no
102,34,management,single,secondary,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no
103,32,management,single,tertiary,no,574,yes,no,cellular,14,apr,259,2,145,3,failure,no
104,37,blue-collar,married,secondary,no,427,yes,yes,unknown,9,jun,371,3,-1,0,unknown,no
105,33,self-employed,married,tertiary,no,483,yes,no,cellular,3,feb,280,2,-1,0,unknown,no
106,56,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243,1,-1,0,unknown,yes
107,27,housemaid,married,primary,no,0,yes,no,cellular,23,jul,435,3,-1,0,unknown,no
108,21,student,single,secondary,no,2488,no,no,cellular,30,jun,258,6,169,3,success,yes
109,58,management,married,tertiary,no,1517,yes,no,telephone,29,jul,7,5,-1,0,unknown,no
110,32,self-employed,married,secondary,no,217,yes,yes,cellular,15,jul,317,5,-1,0,unknown,no
111,33,blue-collar,single,secondary,no,22,no,no,cellular,30,jan,76,2,207,1,failure,no
112,25,student,single,secondary,no,331,no,no,telephone,26,aug,170,4,-1,0,unknown,yes
113,25,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes
114,30,services,married,secondary,no,1808,yes,no,cellular,18,may,83,2,-1,0,unknown,no
115,22,admin.,single,secondary,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no
116,39,blue-collar,married,primary,no,52,no,no,cellular,13,aug,69,1,-1,0,unknown,no
117,46,management,divorced,tertiary,no,25,no,no,unknown,17,jun,564,2,-1,0,unknown,no
118,31,admin.,divorced,secondary,no,1890,yes,no,cellular,21,jul,588,1,-1,0,unknown,no
119,45,blue-collar,married,primary,no,419,no,no,cellular,18,aug,113,4,-1,0,unknown,no
120,32,technician,married,secondary,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,no
121,36,blue-collar,married,secondary,no,-231,no,yes,cellular,15,jul,779,2,-1,0,unknown,no
122,51,management,single,tertiary,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no
123,34,self-employed,single,tertiary,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
124,24,unemployed,single,secondary,no,119,no,no,unknown,15,sep,51,1,-1,0,unknown,no
125,45,technician,single,secondary,no,586,no,yes,cellular,28,jul,32,3,-1,0,unknown,no
126,32,blue-collar,single,secondary,no,228,no,no,telephone,5,feb,176,1,288,3,failure,no
127,77,retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,161,1,-1,0,unknown,yes
128,41,blue-collar,married,primary,no,168,yes,no,cellular,18,nov,187,3,-1,0,unknown,no
129,37,blue-collar,married,primary,no,0,yes,no,unknown,26,may,24,1,-1,0,unknown,no
130,27,technician,single,secondary,no,769,yes,no,unknown,9,may,317,2,-1,0,unknown,no
131,33,management,single,tertiary,no,0,no,no,cellular,28,aug,236,10,-1,0,unknown,no
132,29,admin.,single,secondary,no,428,yes,yes,cellular,7,may,54,1,345,2,failure,no
133,34,management,single,tertiary,no,0,no,no,cellular,5,feb,71,1,-1,0,unknown,no
134,52,management,married,tertiary,no,-970,yes,no,cellular,4,feb,489,1,-1,0,unknown,yes
135,32,management,divorced,tertiary,no,948,no,no,cellular,12,aug,204,2,-1,0,unknown,no
136,32,management,single,tertiary,no,0,yes,no,cellular,22,jul,455,2,-1,0,unknown,no
137,31,management,single,tertiary,no,874,yes,no,cellular,18,nov,190,2,-1,0,unknown,no
138,42,admin.,married,secondary,no,323,yes,yes,unknown,8,may,280,2,-1,0,unknown,no
139,35,management,married,tertiary,no,106,no,yes,cellular,11,aug,588,2,-1,0,unknown,no
140,56,retired,married,primary,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,no
141,48,technician,married,secondary,no,1152,yes,no,cellular,21,jul,168,5,-1,0,unknown,no
142,46,admin.,married,secondary,no,179,yes,no,cellular,29,jan,194,4,436,1,other,no
143,36,management,single,tertiary,no,442,yes,yes,cellular,29,jul,102,3,-1,0,unknown,no
144,45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no
145,55,entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no
146,39,technician,married,secondary,no,501,no,no,unknown,26,may,289,1,-1,0,unknown,no
147,35,technician,divorced,secondary,no,308,no,no,cellular,22,aug,77,2,-1,0,unknown,no
148,55,admin.,married,secondary,no,602,no,no,cellular,1,jun,324,3,90,2,success,yes
149,55,technician,married,secondary,no,273,yes,no,cellular,29,jan,84,3,183,3,failure,no
150,27,self-employed,single,secondary,no,50,no,no,cellular,29,jan,168,1,-1,0,unknown,no
151,34,technician,married,secondary,no,1641,yes,no,cellular,17,apr,380,1,-1,0,unknown,no
152,34,blue-collar,married,tertiary,no,20,no,no,unknown,4,oct,10,1,-1,0,unknown,no
153,25,admin.,single,secondary,no,4590,yes,no,unknown,28,may,199,2,-1,0,unknown,no
154,41,admin.,single,secondary,no,-256,no,yes,unknown,9,may,35,3,-1,0,unknown,no
155,43,services,married,secondary,no,978,yes,yes,unknown,26,may,82,2,-1,0,unknown,no
156,28,management,single,tertiary,no,80,no,no,cellular,20,oct,676,2,146,2,failure,yes
157,31,admin.,single,secondary,no,2104,yes,no,unknown,3,jun,455,1,-1,0,unknown,no
158,78,housemaid,married,secondary,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown,no
159,45,blue-collar,divorced,secondary,no,1269,yes,no,cellular,29,jan,549,2,-1,0,unknown,no
160,48,technician,married,tertiary,no,310,no,no,unknown,6,may,135,1,-1,0,unknown,no
161,32,blue-collar,single,secondary,no,1143,yes,yes,cellular,10,jul,412,1,-1,0,unknown,no
162,42,technician,married,secondary,no,2980,no,no,unknown,20,jun,101,3,-1,0,unknown,no
163,37,management,single,tertiary,no,37,no,no,cellular,28,jan,253,2,-1,0,unknown,no
164,40,admin.,single,secondary,no,462,yes,yes,cellular,6,apr,272,1,335,4,other,no
165,32,admin.,married,secondary,no,1031,yes,no,cellular,17,jul,84,1,-1,0,unknown,no
166,42,management,married,tertiary,no,9009,no,no,cellular,20,nov,135,2,-1,0,unknown,no
167,43,admin.,married,secondary,no,-465,yes,yes,cellular,23,jul,166,1,-1,0,unknown,no
168,44,admin.,married,secondary,no,5181,yes,yes,cellular,31,jul,18,7,-1,0,unknown,no
169,37,admin.,married,secondary,no,176,yes,no,cellular,5,may,147,2,347,1,failure,no
170,37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no
171,28,technician,single,tertiary,no,172,yes,yes,cellular,2,feb,194,2,-1,0,unknown,no
172,32,services,single,secondary,no,0,no,yes,cellular,11,jul,333,2,-1,0,unknown,no
173,34,admin.,single,secondary,no,6979,yes,no,cellular,15,may,14,5,-1,0,unknown,no
174,40,admin.,divorced,secondary,no,6,no,no,unknown,11,jun,140,1,-1,0,unknown,no
175,34,services,married,secondary,no,-62,yes,no,unknown,16,jun,109,3,-1,0,unknown,no
176,34,self-employed,married,tertiary,no,1972,yes,no,cellular,23,jul,61,2,-1,0,unknown,no
177,34,admin.,married,tertiary,no,899,yes,no,telephone,19,nov,377,3,7,4,success,no
178,37,services,single,secondary,no,21,yes,no,cellular,2,feb,96,1,271,2,other,no
179,36,technician,married,secondary,no,23,yes,no,cellular,8,may,152,2,347,1,failure,no
180,56,retired,married,secondary,no,-1206,yes,no,cellular,15,jun,382,2,-1,0,unknown,yes
181,49,blue-collar,married,primary,no,0,yes,yes,telephone,23,jul,97,6,-1,0,unknown,no
182,33,self-employed,married,secondary,no,215,yes,no,cellular,29,jul,543,12,-1,0,unknown,no
183,30,management,single,tertiary,no,1372,no,no,cellular,20,nov,240,2,-1,0,unknown,no
184,36,services,married,secondary,no,1981,no,no,unknown,17,jun,48,2,-1,0,unknown,no
185,23,student,single,secondary,no,9216,no,no,cellular,5,jun,471,2,-1,0,unknown,no
186,57,retired,divorced,secondary,no,39,yes,no,cellular,30,jul,354,3,-1,0,unknown,no
187,27,blue-collar,single,secondary,no,5563,yes,no,unknown,30,may,435,2,-1,0,unknown,no
188,38,services,married,secondary,no,1,no,yes,cellular,21,nov,152,2,-1,0,unknown,no
189,42,technician,married,tertiary,no,782,no,no,cellular,3,apr,285,1,-1,0,unknown,no
190,75,retired,married,secondary,no,3771,no,no,telephone,15,apr,185,1,181,2,success,yes
191,34,technician,single,tertiary,no,992,yes,no,cellular,4,may,301,1,88,2,success,no
192,48,technician,married,secondary,no,1526,no,no,cellular,6,aug,273,2,-1,0,unknown,no
193,35,technician,single,tertiary,no,2658,yes,no,cellular,19,aug,768,2,141,3,failure,yes
194,39,management,divorced,tertiary,no,1315,yes,no,cellular,19,nov,1337,4,126,1,failure,no
195,29,blue-collar,single,tertiary,no,455,no,no,telephone,21,apr,403,1,-1,0,unknown,yes
196,45,technician,single,tertiary,no,0,yes,no,cellular,18,nov,139,2,-1,0,unknown,no
197,42,technician,married,secondary,no,2030,yes,yes,cellular,9,jul,196,1,-1,0,unknown,no
198,29,technician,married,secondary,no,1599,yes,no,cellular,8,jul,115,1,61,1,failure,no
199,38,services,single,secondary,no,-196,yes,no,cellular,2,feb,60,1,271,1,failure,no
200,56,retired,married,secondary,no,1333,no,no,cellular,28,aug,17,14,-1,0,unknown,no
201,36,technician,single,secondary,no,9149,yes,no,cellular,13,aug,141,3,-1,0,unknown,no
202,25,blue-collar,single,secondary,no,-350,yes,no,unknown,23,jun,95,3,-1,0,unknown,no
203,38,technician,married,tertiary,no,432,yes,no,cellular,15,may,10,2,373,1,other,no
204,57,self-employed,married,secondary,no,11494,no,no,cellular,19,nov,198,1,-1,0,unknown,no
205,31,management,married,tertiary,yes,-253,no,no,cellular,12,aug,220,4,-1,0,unknown,no
206,42,management,married,tertiary,no,372,yes,no,cellular,3,aug,654,2,-1,0,unknown,yes
207,45,technician,married,secondary,no,1410,no,no,cellular,11,aug,71,2,-1,0,unknown,no
208,30,blue-collar,married,secondary,no,975,yes,no,cellular,13,may,256,2,351,2,failure,no
209,49,blue-collar,married,primary,no,305,yes,yes,telephone,10,jul,834,10,-1,0,unknown,no
210,49,services,married,secondary,no,400,no,no,cellular,21,aug,151,3,-1,0,unknown,no
211,53,retired,married,tertiary,no,-22,yes,no,cellular,31,jul,20,3,-1,0,unknown,no
212,37,technician,married,secondary,no,4030,yes,no,unknown,26,may,178,5,-1,0,unknown,no
213,49,blue-collar,married,primary,no,365,no,no,unknown,26,may,59,2,-1,0,unknown,no
214,41,self-employed,married,primary,no,204,no,no,cellular,13,aug,111,7,-1,0,unknown,no
215,54,management,married,primary,no,1691,yes,no,cellular,20,nov,186,1,-1,0,unknown,no
216,32,services,single,secondary,no,406,yes,no,unknown,6,may,227,1,-1,0,unknown,no
217,33,technician,married,secondary,no,-204,no,no,cellular,15,may,297,3,-1,0,unknown,no
218,33,technician,married,secondary,no,359,yes,no,cellular,20,apr,210,1,242,1,other,no
219,36,blue-collar,married,primary,no,123,yes,no,cellular,18,may,9,1,-1,0,unknown,no
220,35,technician,married,tertiary,no,0,yes,yes,cellular,23,sep,112,1,62,6,other,no
221,52,unknown,married,secondary,no,142,no,no,cellular,25,aug,112,6,-1,0,unknown,no
222,40,entrepreneur,married,tertiary,no,3571,no,no,unknown,9,jun,222,3,-1,0,unknown,no
223,44,technician,single,secondary,no,33,yes,no,cellular,13,may,195,3,351,10,failure,no
224,45,blue-collar,single,secondary,no,0,yes,no,cellular,26,jul,768,2,91,5,success,no
225,30,student,single,secondary,no,3096,no,no,cellular,26,jan,123,1,-1,0,unknown,no
226,48,technician,divorced,secondary,yes,20,no,no,cellular,27,aug,145,3,-1,0,unknown,no
227,33,blue-collar,married,secondary,no,3576,yes,no,cellular,2,apr,124,1,308,2,other,no
228,57,housemaid,married,primary,no,7082,no,no,unknown,6,jun,69,3,-1,0,unknown,no
229,51,unemployed,married,tertiary,no,1634,yes,no,cellular,22,jul,168,4,-1,0,unknown,no
230,34,admin.,single,secondary,no,1,yes,no,cellular,22,jul,483,7,-1,0,unknown,no
231,50,self-employed,married,tertiary,no,4012,no,no,cellular,19,nov,690,3,-1,0,unknown,no
232,44,management,married,tertiary,no,3762,no,no,cellular,28,aug,125,12,-1,0,unknown,no
233,27,admin.,married,secondary,no,-247,yes,yes,unknown,4,jun,344,2,-1,0,unknown,no
234,50,blue-collar,married,secondary,no,606,yes,no,unknown,14,may,673,2,-1,0,unknown,no
235,36,management,married,tertiary,no,0,yes,no,cellular,28,jan,60,1,250,1,other,no
236,42,management,married,secondary,no,-189,yes,no,unknown,12,may,247,2,-1,0,unknown,no
237,32,unemployed,single,secondary,no,0,no,no,cellular,27,may,123,2,-1,0,unknown,no
238,42,management,married,tertiary,no,484,yes,no,cellular,11,jul,144,2,-1,0,unknown,no
239,43,technician,married,secondary,no,0,no,yes,cellular,8,may,9,2,172,5,failure,no
240,31,management,married,tertiary,no,395,yes,no,cellular,9,feb,155,3,-1,0,unknown,no
241,32,management,married,tertiary,no,2349,no,no,cellular,14,aug,134,5,-1,0,unknown,no
242,55,blue-collar,divorced,primary,no,410,no,yes,cellular,11,jul,221,2,-1,0,unknown,no
243,58,retired,married,primary,no,3401,yes,no,cellular,3,feb,84,3,265,2,failure,no
244,46,blue-collar,married,primary,no,222,no,no,cellular,8,aug,71,2,-1,0,unknown,no
245,55,blue-collar,married,secondary,no,989,yes,yes,unknown,23,may,246,4,-1,0,unknown,no
246,34,management,married,tertiary,no,415,no,yes,cellular,23,jul,361,2,-1,0,unknown,no
247,28,unemployed,single,secondary,no,16,no,no,cellular,12,aug,119,4,-1,0,unknown,no
248,42,technician,divorced,tertiary,no,7190,yes,no,cellular,29,jul,375,2,-1,0,unknown,no
249,29,blue-collar,single,secondary,no,482,no,yes,cellular,10,jul,1097,3,-1,0,unknown,yes
250,54,housemaid,married,secondary,no,209,yes,yes,cellular,25,jul,97,1,-1,0,unknown,no
251,32,technician,single,secondary,no,0,no,no,cellular,26,aug,181,2,-1,0,unknown,no
252,39,technician,single,tertiary,no,5803,no,no,cellular,2,feb,83,3,-1,0,unknown,no
253,53,entrepreneur,married,tertiary,no,624,no,yes,cellular,21,jul,180,4,-1,0,unknown,no
254,58,technician,married,tertiary,no,883,no,no,cellular,18,aug,543,1,78,2,failure,no
255,40,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,373,1,-1,0,unknown,no
256,29,student,single,secondary,no,872,yes,no,unknown,7,may,230,1,-1,0,unknown,no
257,33,technician,married,tertiary,no,-988,yes,yes,cellular,15,jul,83,3,-1,0,unknown,no
258,38,admin.,single,secondary,no,902,yes,no,telephone,31,jul,58,13,-1,0,unknown,no
259,56,services,divorced,secondary,no,1007,no,no,cellular,29,jul,88,6,-1,0,unknown,no
260,40,services,married,secondary,no,0,yes,no,cellular,2,jun,297,1,28,3,failure,no
261,24,blue-collar,single,secondary,no,174,yes,yes,cellular,18,may,487,1,-1,0,unknown,yes
262,46,management,married,secondary,no,12186,no,no,unknown,20,jun,29,3,-1,0,unknown,no
263,35,self-employed,married,secondary,no,524,yes,no,cellular,21,nov,484,4,-1,0,unknown,no
264,35,blue-collar,single,tertiary,no,0,yes,no,cellular,21,jul,262,4,-1,0,unknown,no
265,34,technician,married,secondary,no,4,yes,no,unknown,15,may,644,1,-1,0,unknown,no
266,35,housemaid,married,tertiary,no,11219,no,no,cellular,12,aug,699,2,79,1,failure,no
267,38,technician,single,tertiary,no,0,no,no,cellular,28,aug,247,2,-1,0,unknown,no
268,50,blue-collar,married,primary,no,5776,no,no,cellular,18,nov,49,3,-1,0,unknown,no
269,51,blue-collar,divorced,primary,no,37,yes,no,cellular,13,may,341,1,-1,0,unknown,no
270,59,self-employed,married,tertiary,no,593,no,no,unknown,13,may,64,2,-1,0,unknown,no
271,32,blue-collar,married,secondary,no,1148,yes,no,cellular,20,apr,121,1,-1,0,unknown,no
272,37,blue-collar,single,secondary,no,3561,yes,no,unknown,2,jun,98,1,-1,0,unknown,no
273,42,admin.,divorced,secondary,no,63,no,no,unknown,16,may,88,6,-1,0,unknown,no
274,40,student,married,secondary,no,260,no,no,unknown,20,jun,197,6,-1,0,unknown,no
275,28,technician,single,tertiary,no,2269,yes,no,unknown,9,may,331,1,-1,0,unknown,no
276,47,admin.,married,secondary,no,1060,yes,no,unknown,6,jun,83,3,-1,0,unknown,no
277,27,self-employed,married,secondary,no,-220,yes,no,unknown,26,may,138,2,-1,0,unknown,no
278,41,management,married,tertiary,no,49,yes,no,cellular,17,jul,312,5,-1,0,unknown,no
279,34,admin.,married,tertiary,no,69,no,yes,cellular,4,aug,120,3,1,6,success,yes
280,50,blue-collar,married,primary,no,4108,yes,no,cellular,7,aug,526,2,-1,0,unknown,yes
281,47,blue-collar,married,secondary,no,480,yes,no,unknown,28,may,211,2,-1,0,unknown,no
282,53,services,married,secondary,no,4994,no,no,cellular,18,aug,62,6,-1,0,unknown,no
283,53,technician,divorced,secondary,no,0,yes,yes,cellular,15,jul,135,5,-1,0,unknown,no
284,47,management,married,tertiary,no,3681,no,no,cellular,14,aug,101,2,-1,0,unknown,no
285,29,management,married,tertiary,no,451,no,no,cellular,28,jan,451,1,-1,0,unknown,no
286,45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,1,-1,0,unknown,yes
287,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,-1,0,unknown,yes
288,32,blue-collar,married,secondary,no,759,yes,no,cellular,9,apr,317,5,-1,0,unknown,yes
289,70,retired,divorced,primary,no,4531,no,no,cellular,18,may,445,1,-1,0,unknown,no
290,65,retired,divorced,primary,no,1840,no,no,cellular,1,jun,383,2,188,5,failure,no
291,56,blue-collar,married,secondary,no,345,yes,no,telephone,22,jul,605,1,-1,0,unknown,no
292,35,blue-collar,married,secondary,no,1287,yes,no,cellular,14,jul,330,2,-1,0,unknown,no
293,56,technician,married,secondary,no,205,no,yes,cellular,23,jul,442,2,-1,0,unknown,no
294,49,entrepreneur,married,secondary,no,687,yes,no,cellular,17,apr,772,1,-1,0,unknown,yes
295,38,unemployed,married,primary,no,1147,yes,yes,unknown,8,may,249,5,-1,0,unknown,no
