,Branch_ID,Date,Revenue,Customers,Operating_Costs,Profit,Conversion_Rate,Customer_Satisfaction,Ad_Spend,Product_Returns
49,D,2024-09-19,11910,179,7980,3930,0.08,9,2197,12
50,F,2024-09-20,17685,269,4961,12724,0.05,6,2676,13
51,B,2024-09-21,14062,103,6973,7089,0.08,6,2191,2
52,B,2024-09-22,11938,136,6433,5505,0.1,6,3217,5
53,A,2024-09-23,9488,278,5777,3711,0.08,6,2416,17
54,B,2024-09-24,5206,273,4869,337,0.13,7,3993,18
55,E,2024-09-25,10134,274,5234,4900,0.08,5,3842,4
56,B,2024-09-26,10977,178,5791,5186,0.15,8,3681,14
57,D,2024-09-27,12721,196,2956,9765,0.1,6,2217,1
58,D,2024-09-28,12035,175,7800,4235,0.13,9,2540,9
59,D,2024-09-29,6484,179,6067,417,0.07,6,3076,17
60,D,2024-09-30,12858,102,2160,10698,0.09,9,4236,12
61,E,2024-10-01,5863,221,7699,-1836,0.12,7,2445,4
62,C,2024-10-02,7790,267,6493,1297,0.06,9,3386,0
63,F,2024-10-03,12408,209,3300,9108,0.06,8,4719,0
64,A,2024-10-04,13755,247,6911,6844,0.15,5,2519,17
65,D,2024-10-05,10116,209,5987,4129,0.12,9,2388,14
66,B,2024-10-06,17383,296,3527,13856,0.05,9,2856,16
67,D,2024-10-07,11019,117,7511,3508,0.09,5,2365,10
68,B,2024-10-08,6757,232,7254,-497,0.09,8,1499,16
69,F,2024-10-09,19820,252,3218,16602,0.12,6,2680,12
70,F,2024-10-10,12574,233,6496,6078,0.08,9,1510,0
71,F,2024-10-11,11374,172,6735,4639,0.07,5,4398,1
72,B,2024-10-12,11892,194,5104,6788,0.06,7,1216,8
73,D,2024-10-13,6678,87,4735,1943,0.09,5,2324,2
74,F,2024-10-14,8242,73,6555,1687,0.12,7,2155,0
75,E,2024-10-15,9636,118,2954,6682,0.06,8,2827,15
76,B,2024-10-16,6059,165,6565,-506,0.14,6,4141,5
77,B,2024-10-17,11668,147,5446,6222,0.09,5,4323,16
78,D,2024-10-18,18471,247,3045,15426,0.07,9,4486,4
79,B,2024-10-19,14914,263,3693,11221,0.06,8,2810,4
80,B,2024-10-20,16506,188,5436,11070,0.07,5,3492,5
81,F,2024-10-21,8157,289,2562,5595,0.14,9,3923,2
82,D,2024-10-22,10915,193,4485,6430,0.11,5,2205,4
83,F,2024-10-23,15817,146,7895,7922,0.1,7,3214,4
84,F,2024-10-24,15921,250,5354,10567,0.12,5,1090,9
85,D,2024-10-25,19892,173,2225,17667,0.09,5,1713,9
86,A,2024-10-26,14789,236,6893,7896,0.12,5,2881,18
87,F,2024-10-27,16252,119,2959,13293,0.05,8,4602,16
88,E,2024-10-28,7693,257,7600,93,0.11,5,1038,13
89,E,2024-10-29,18083,142,6548,11535,0.07,9,4197,8
90,B,2024-10-30,18339,52,5067,13272,0.06,7,4522,13
91,E,2024-10-31,18931,197,2815,16116,0.08,7,1172,0
92,B,2024-11-01,8627,236,6754,1873,0.06,5,1652,18
93,A,2024-11-02,14555,213,6642,7913,0.06,8,1753,12
94,D,2024-11-03,15173,196,7311,7862,0.08,8,2243,12
95,D,2024-11-04,10450,139,5120,5330,0.15,9,4709,3
96,D,2024-11-05,6663,244,2016,4647,0.07,5,2081,0
97,E,2024-11-06,14721,196,3243,11478,0.05,7,2683,16
98,A,2024-11-07,15230,197,4205,11025,0.13,8,3523,7
99,E,2024-11-08,10592,145,4524,6068,0.13,5,1455,1
