Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,profit,Rating
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,18/02/2019,10:12,Credit card,8.525650082,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,419.564,04/12/2019,10:42,Cash,26.85592025,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,72.526,31/05/2019,12:28,Cash,12.64382281,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,330.755,05/10/2019,19:15,Cash,17.2908611,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,14/04/2019,17:17,Cash,12.03254531,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,21/10/2019,13:24,Cash,35.31320132,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,257.008,22/07/2019,13:01,Ewallet,5.496229846,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,93.056,17/05/2019,18:45,Cash,9.848095823,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,119.831,03/12/2019,10:11,Ewallet,26.3609153,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,436.456,08/01/2019,13:03,Ewallet,15.68892716,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,833.08,29/06/2019,20:39,Ewallet,43.23528132,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,36.277,27/05/2019,19:47,Ewallet,19.11453703,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,397.632,08/11/2019,18:00,Ewallet,15.4629779,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,537.7205,30/05/2019,17:24,Credit card,20.10110831,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,191.0945,07/11/2019,15:47,Cash,14.69603083,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,123.259,10/02/2019,12:45,Credit card,14.03328535,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,868.615,14/11/2019,17:08,Cash,35.30801463,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,675.79,19/12/2019,10:19,Ewallet,6.503165695,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,235.0975,23/12/2019,15:10,Ewallet,48.18293976,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,78.054,03/07/2019,14:42,Cash,46.88861965,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,17.2015,10/01/2019,15:46,Credit card,5.793989874,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,28/02/2019,11:49,Cash,19.59078083,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,29/07/2019,19:01,Ewallet,30.15543259,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,94.114,21/01/2019,11:26,Ewallet,41.4640136,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,19/01/2019,11:28,Cash,10.12986126,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,764.675,09/06/2019,15:55,Ewallet,7.313863858,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,24/12/2019,20:36,Ewallet,21.71412485,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,82.931,30/03/2019,17:47,Credit card,50.55295028,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,11/11/2019,10:55,Cash,30.82100545,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,524.4115,03/08/2019,13:40,Cash,28.19739465,10
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,169.005,05/10/2019,12:27,Credit card,32.46612011,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,323.108,15/01/2019,14:35,Ewallet,32.08757399,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,168.635,18/08/2019,16:40,Ewallet,29.52659707,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,22/01/2019,15:43,Cash,13.35162719,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,617.943,20/11/2019,15:01,Cash,49.5117641,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,28/04/2019,10:04,Ewallet,47.75038011,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,22.2465,26/02/2019,18:50,Ewallet,39.57523642,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,09/09/2019,12:46,Credit card,7.013002124,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,16/02/2019,16:19,Ewallet,17.61762991,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,155.838,06/09/2019,18:17,Cash,31.69164847,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,03/04/2019,18:21,Ewallet,20.39609992,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,11/04/2019,10:55,Cash,15.28237892,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,10/10/2019,17:04,Credit card,27.08973373,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,465.428,02/11/2019,14:20,Credit card,8.647062784,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,190.0945,27/10/2019,15:48,Credit card,47.36328013,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,823.255,10/06/2019,16:24,Cash,19.68814443,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,28/07/2019,18:56,Ewallet,28.52672158,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,06/05/2019,14:42,Credit card,22.96122783,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,07/01/2019,19:56,Cash,16.95048116,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,28/06/2019,18:37,Cash,20.9927662,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,339.512,15/01/2019,18:45,Credit card,10.37991522,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,258.7775,04/07/2019,10:17,Ewallet,14.8521612,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,02/04/2019,14:31,Cash,18.7304591,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,27/03/2019,10:23,Ewallet,11.91678866,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,365.943,21/12/2019,20:35,Credit card,9.36019208,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,19/04/2019,16:57,Ewallet,39.45761122,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,13/09/2019,17:55,Ewallet,13.86851664,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,200.996,25/11/2019,10:25,Ewallet,6.247887939,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,12/07/2019,19:54,Cash,6.307511267,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,162.553,27/07/2019,16:42,Cash,22.2221922,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,611.202,22/01/2019,12:09,Credit card,9.652590901,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,19/12/2019,20:05,Credit card,14.46811861,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,05/05/2019,20:38,Cash,16.78778411,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,30/09/2019,10:25,Cash,6.860494006,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,08/07/2019,13:11,Ewallet,33.46986629,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,14/05/2019,10:16,Cash,18.21820993,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,12/11/2019,18:14,Ewallet,13.46302708,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,55.1455,18/06/2019,19:20,Ewallet,18.28464692,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,13/02/2019,13:22,Ewallet,4.54768079,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,01/02/2019,11:27,Ewallet,12.9565469,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,04/01/2019,16:44,Ewallet,36.0987947,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,15/08/2019,18:19,Ewallet,13.23455891,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,932.035,04/02/2019,14:50,Cash,33.85249545,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,07/02/2019,20:54,Credit card,6.540414961,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,31/07/2019,20:19,Ewallet,17.26878524,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,22/11/2019,10:43,Ewallet,28.48255695,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,864.685,26/08/2019,14:30,Ewallet,13.80216381,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,35.629,01/10/2019,11:32,Cash,7.368008465,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,311.3615,25/10/2019,10:41,Credit card,15.00969932,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,21/06/2019,12:44,Ewallet,16.40223223,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,550.7615,19/04/2019,20:07,Cash,20.69172399,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,768.4655,12/03/2019,20:31,Credit card,17.95313772,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,22/11/2019,13:01,Credit card,10.21148805,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,117.185,23/05/2019,12:29,Cash,19.52740662,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,57.928,11/09/2019,15:26,Cash,26.81748409,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,12/02/2019,20:48,Cash,20.1652742,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,15/05/2019,20:38,Cash,28.8482724,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,17/04/2019,17:03,Credit card,12.63622374,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,422.832,23/04/2019,12:02,Credit card,7.253613798,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,946.622,09/11/2019,17:26,Credit card,14.07404771,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,541.844,24/05/2019,19:52,Credit card,10.1736814,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,478.348,02/11/2019,14:57,Cash,19.2148001,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,27/06/2019,18:44,Credit card,10.87794835,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,30/11/2019,13:26,Ewallet,14.47905684,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,12/01/2019,16:17,Credit card,36.63065365,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,578.736,23/05/2019,15:57,Cash,38.97904832,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,17/01/2019,11:15,Cash,19.51800885,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,08/05/2019,13:18,Ewallet,23.26074444,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,584.419,28/06/2019,20:34,Ewallet,6.668448216,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,22/05/2019,18:36,Ewallet,13.40418449,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,553.935,01/09/2019,14:40,Credit card,14.17709738,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,09/02/2019,16:43,Cash,41.04470728,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,23/04/2019,19:39,Ewallet,27.83345936,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,11/04/2019,20:59,Credit card,33.2481539,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,217.846,22/10/2019,15:39,Ewallet,11.33189043,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,15/04/2019,12:21,Ewallet,9.65462668,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,609,15/07/2019,19:25,Cash,37.63878909,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,944.9,05/01/2019,13:00,Credit card,21.89157945,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,952.25,16/04/2019,13:48,Ewallet,4.541483892,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,721.3,18/11/2019,19:57,Ewallet,5.478433757,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,34.9305,18/08/2019,10:36,Credit card,16.87885789,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,09/06/2019,16:37,Cash,26.48907953,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,01/03/2019,17:11,Credit card,14.72983589,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,317.47,15/09/2019,12:28,Cash,9.476322361,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,20/05/2019,12:46,Credit card,6.39407744,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,606.624,25/03/2019,15:07,Credit card,28.70722786,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,10/07/2019,13:48,Credit card,39.4121157,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,386.468,06/02/2019,19:20,Credit card,7.852821488,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,255.016,10/02/2019,16:07,Credit card,29.96486245,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,10/04/2019,11:56,Credit card,11.06807647,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,29/06/2019,18:23,Cash,8.312132529,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,03/10/2019,13:05,Ewallet,12.23872438,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,489.5225,21/09/2019,15:55,Credit card,42.6060821,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,78.7785,30/03/2019,19:40,Ewallet,12.4060401,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,26/01/2019,13:58,Cash,8.427037191,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,922.729,09/02/2019,14:43,Cash,22.83825793,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,03/07/2019,19:18,Cash,15.86479581,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,362.712,25/10/2019,19:39,Credit card,14.21326698,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,19/09/2019,16:21,Ewallet,28.91113681,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,17/10/2019,19:44,Credit card,23.35128644,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,20/05/2019,19:42,Cash,14.10136247,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,16/10/2019,15:24,Credit card,9.086057944,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,359.588,27/11/2019,14:12,Cash,4.74278312,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,06/03/2019,13:32,Ewallet,7.810016298,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,14/03/2019,16:20,Credit card,9.313371797,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,05/02/2019,16:31,Ewallet,22.55590314,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,513.972,07/01/2019,15:10,Credit card,10.91670447,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,22/02/2019,11:36,Cash,25.53035653,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,423.2625,11/03/2019,12:45,Credit card,30.21556054,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,20/11/2019,19:17,Ewallet,5.265029206,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,335.207,29/04/2019,17:34,Credit card,40.2923232,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,09/04/2019,12:04,Cash,56.01637071,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,323.788,01/02/2019,16:21,Cash,20.74231244,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,189.228,13/03/2019,17:01,Credit card,16.80840633,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,08/08/2019,10:50,Credit card,21.53380966,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.444,14/02/2019,19:16,Cash,35.41312042,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,277.42,22/03/2019,16:47,Cash,15.14249084,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,14/08/2019,10:00,Ewallet,12.54970712,5.7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,326.148,17/06/2019,11:51,Ewallet,15.69155548,7.7
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,163.75,02/03/2019,10:55,Cash,26.27500885,8
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,288.204,17/09/2019,15:00,Cash,19.71993666,5.7
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,23/01/2019,11:19,Credit card,22.29560781,6.7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,59.952,23/10/2019,19:46,Cash,21.64473331,8
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,796.716,26/09/2019,19:00,Cash,21.40657096,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,196.174,11/06/2019,10:53,Ewallet,9.26911582,7
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,25/10/2019,12:50,Cash,27.52718312,9.9
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,23/08/2019,20:50,Credit card,16.81555405,5.9
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,05/03/2019,10:39,Credit card,8.111285899,7.2
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,22/12/2019,13:41,Cash,27.93722437,4.6
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,829.71,29/06/2019,19:08,Ewallet,15.86977888,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,15/01/2019,20:23,Cash,10.91803268,5.7
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,20/04/2019,11:30,Credit card,6.741752207,9.9
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,82.0045,26/05/2019,19:30,Ewallet,36.34209554,5
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,94.77,26/05/2019,18:03,Ewallet,18.55983322,4.9
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,16/04/2019,10:13,Cash,19.77852875,6.1
